batch_id,collection_timestamp,city,station_type,station_id,station_name,stop_point_ref,operating_day,journey_ref,transport_mode,product_category,public_code,line,train_number,origin,destination,planned_platform,estimated_platform,scheduled_departure,estimated_departure,cancelled,has_realtime,predicted_delay_minutes,collection_timestamp_local,scheduled_departure_local,estimated_departure_local,date,hour,weekday,weekend,minutes_until_departure
20260922_120440,2026-09-22 12:04:40.011000+00:00,Zürich,rail,ch:1:sloid:3000,Zürich HB,ch:1:sloid:3000:503:43,2026-09-22,ch:1:sjyid:100001:19653-001,rail,S-Bahn,S16,S16,19653,Zürich Flughafen,Herrliberg-Feldmeilen,43/44,,2026-09-22 12:15:00+00:00,2026-09-22 12:15:36+00:00,,True,0.6,2026-09-22 14:04:40.011000+02:00,2026-09-22 14:15:00+02:00,2026-09-22 14:15:36+02:00,2026-09-22,14,Tuesday,False,10.33315
20260922_120440,2026-09-22 12:04:40.011000+00:00,Zürich,rail,ch:1:sloid:3000,Zürich HB,ch:1:sloid:3000:503:43,2026-09-22,ch:1:sjyid:100001:19253-001,rail,S-Bahn,S12,S12,19253,Brugg AG,Schaffhausen,43/44,,2026-09-22 12:16:00+00:00,2026-09-22 12:17:00+00:00,,True,1.0,2026-09-22 14:04:40.011000+02:00,2026-09-22 14:16:00+02:00,2026-09-22 14:17:00+02:00,2026-09-22,14,Tuesday,False,11.33315
20260922_120440,2026-09-22 12:04:40.011000+00:00,Zürich,rail,ch:1:sloid:3000,Zürich HB,ch:1:sloid:3000:502:42,2026-09-22,ch:1:sjyid:100001:19652-001,rail,S-Bahn,S16,S16,19652,Herrliberg-Feldmeilen,Zürich Flughafen,41/42,,2026-09-22 12:16:00+00:00,2026-09-22 12:16:18+00:00,,True,0.3,2026-09-22 14:04:40.011000+02:00,2026-09-22 14:16:00+02:00,2026-09-22 14:16:18+02:00,2026-09-22,14,Tuesday,False,11.33315
20260922_120440,2026-09-22 12:04:40.011000+00:00,Zürich,rail,ch:1:sloid:3000,Zürich HB,ch:1:sloid:3000:500:32,2026-09-22,ch:1:sjyid:100001:18253-001,rail,S-Bahn,S2,S2,18253,Zürich Flughafen,Ziegelbrücke,32,,2026-09-22 12:17:00+00:00,2026-09-22 12:18:00+00:00,,True,1.0,2026-09-22 14:04:40.011000+02:00,2026-09-22 14:17:00+02:00,2026-09-22 14:18:00+02:00,2026-09-22,14,Tuesday,False,12.33315
20260922_120440,2026-09-22 12:04:40.011000+00:00,Zürich,rail,ch:1:sloid:3000,Zürich HB,ch:1:sloid:3000:500:31,2026-09-22,ch:1:sjyid:100001:19452-001,rail,S-Bahn,S14,S14,19452,Hinwil,Affoltern am Albis,31,,2026-09-22 12:19:00+00:00,2026-09-22 12:20:00+00:00,,True,1.0,2026-09-22 14:04:40.011000+02:00,2026-09-22 14:19:00+02:00,2026-09-22 14:20:00+02:00,2026-09-22,14,Tuesday,False,14.33315
20260922_120440,2026-09-22 12:04:40.011000+00:00,Zürich,rail,ch:1:sloid:3000,Zürich HB,ch:1:sloid:3000:501:33,2026-09-22,ch:1:sjyid:100001:19953-001,rail,S-Bahn,S19,S19,19953,Dietikon,Effretikon,33,,2026-09-22 12:19:00+00:00,2026-09-22 12:19:18+00:00,,True,0.3,2026-09-22 14:04:40.011000+02:00,2026-09-22 14:19:00+02:00,2026-09-22 14:19:18+02:00,2026-09-22,14,Tuesday,False,14.33315
20260922_120440,2026-09-22 12:04:40.011000+00:00,Zürich,rail,ch:1:sloid:3000,Zürich HB,ch:1:sloid:3000:502:42,2026-09-22,ch:1:sjyid:100001:18752-001,rail,S-Bahn,S7,S7,18752,Rapperswil SG,Winterthur,41/42,,2026-09-22 12:19:00+00:00,2026-09-22 12:19:42+00:00,,True,0.7,2026-09-22 14:04:40.011000+02:00,2026-09-22 14:19:00+02:00,2026-09-22 14:19:42+02:00,2026-09-22,14,Tuesday,False,14.33315
20260922_120440,2026-09-22 12:04:40.011000+00:00,Zürich,rail,ch:1:sloid:3000,Zürich HB,ch:1:sloid:3000:3:4,2026-09-22,ch:1:sjyid:100001:20453-001,rail,S-Bahn,S24,S24,20453,Schaffhausen,Zug,4,,2026-09-22 12:21:00+00:00,2026-09-22 12:21:18+00:00,,True,0.3,2026-09-22 14:04:40.011000+02:00,2026-09-22 14:21:00+02:00,2026-09-22 14:21:18+02:00,2026-09-22,14,Tuesday,False,16.33315
20260922_120440,2026-09-22 12:04:40.417000+00:00,Bern,rail,ch:1:sloid:7000,Bern,ch:1:sloid:7000:3:5,2026-09-22,ch:1:sjyid:100001:972-002,rail,InterCity,IC61,IC61,972,Interlaken Ost,Basel SBB,5,,2026-09-22 12:04:00+00:00,2026-09-22 12:05:00+00:00,,True,1.0,2026-09-22 14:04:40.417000+02:00,2026-09-22 14:04:00+02:00,2026-09-22 14:05:00+02:00,2026-09-22,14,Tuesday,False,-0.6736166666666666
20260922_120440,2026-09-22 12:04:40.417000+00:00,Bern,rail,ch:1:sloid:7000,Bern,ch:1:sloid:7000:4:7,2026-09-22,ch:1:sjyid:100001:2522-001,rail,InterRegio,IR15,IR15,2522,Luzern,Genève-Aéroport,7,,2026-09-22 12:04:00+00:00,2026-09-22 12:04:36+00:00,,True,0.6,2026-09-22 14:04:40.417000+02:00,2026-09-22 14:04:00+02:00,2026-09-22 14:04:36+02:00,2026-09-22,14,Tuesday,False,-0.6736166666666666
20260922_120440,2026-09-22 12:04:40.417000+00:00,Bern,rail,ch:1:sloid:7000,Bern,ch:1:sloid:7000:4:8,2026-09-22,ch:1:sjyid:100001:818-002,rail,InterCity,IC81,IC81,818,Romanshorn,Interlaken Ost,8,,2026-09-22 12:04:00+00:00,2026-09-22 12:04:42+00:00,,True,0.7,2026-09-22 14:04:40.417000+02:00,2026-09-22 14:04:00+02:00,2026-09-22 14:04:42+02:00,2026-09-22,14,Tuesday,False,-0.6736166666666666
20260922_120440,2026-09-22 12:04:40.417000+00:00,Bern,rail,ch:1:sloid:7000,Bern,ch:1:sloid:7000:500:21,2026-09-22,ch:1:sjyid:100066:SKI-1141,rail,RegioExpress,RE5,RE5,1141,Bern,Solothurn,21,,2026-09-22 12:05:00+00:00,2026-09-22 12:05:00+00:00,,True,0.0,2026-09-22 14:04:40.417000+02:00,2026-09-22 14:05:00+02:00,2026-09-22 14:05:00+02:00,2026-09-22,14,Tuesday,False,0.3263833333333333
20260922_120440,2026-09-22 12:04:40.417000+00:00,Bern,rail,ch:1:sloid:7000,Bern,ch:1:sloid:7000_gen:ch:1:sloid:7000:6:33_pf:13D-F,2026-09-22,ch:1:sjyid:100015:15652-001,rail,S-Bahn,S6,S6,15652,Bern,Schwarzenburg,13D-F,,2026-09-22 12:06:00+00:00,2026-09-22 12:06:12+00:00,,True,0.2,2026-09-22 14:04:40.417000+02:00,2026-09-22 14:06:00+02:00,2026-09-22 14:06:12+02:00,2026-09-22,14,Tuesday,False,1.3263833333333332
